,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
165,0.809,0.62,-9.956,0.0516,0.0468,0.776,0.111,0.857,123.984,45ZrZb9x9yLiFMpSDgcWps,140835
166,0.751,0.727,-8.233,0.0738,0.0206,0.27,0.0772,0.778,122.025,64qhBo1fuovoZhrse57kkz,153391
167,0.743,0.532,-13.488,0.0398,0.13,0.761,0.107,0.394,123.975,6zptp8clcxmgwCgMzzFaUh,141642
168,0.807,0.683,-10.571,0.0436,0.0441,0.884,0.0614,0.929,121.997,1054SRnVG0dmZWcK9TiA40,144985
169,0.673,0.521,-9.053,0.0349,0.299,0.968,0.149,0.664,116.05,4olVUrn820CcjWEx5m1tKH,142431
170,0.729,0.686,-7.451,0.0343,0.486,0.424,0.173,0.449,106.006,50tcYH3xdTdY3jKkrqiDIR,147679
171,0.745,0.855,-8.165,0.0448,0.111,0.805,0.0969,0.867,119.012,6zkdBXpZA91zO1hMXMsNdY,146326
172,0.832,0.423,-10.861,0.0557,0.161,0.699,0.107,0.342,122.012,7LjdxEWSSqIvG4RhQvyFW3,139390
173,0.705,0.792,-8.597,0.0482,0.569,0.0444,0.127,0.929,118.007,7uQRquYoBboqSkMjYj86Gh,130420
174,0.585,0.739,-9.385,0.0276,0.000535,0.835,0.0996,0.53,117.006,0AtR6vL82zl3MD8J9IAXAk,124987
175,0.72,0.607,-11.695,0.0379,0.2,0.807,0.205,0.548,114.993,1yyguyNmR4BnPccHtlZShz,128151
176,0.595,0.613,-13.186,0.0369,0.231,0.867,0.0928,0.533,90.03,37jOK1yWWs1nVXMwi8fiaC,120674
177,0.793,0.668,-8.938,0.0513,0.329,0.911,0.108,0.23,121.997,1cdopW1Z8MWlBAGhdyMNZA,146066
178,0.736,0.625,-9.896,0.0414,0.169,0.37,0.142,0.691,117.96,4QN5mxuBVudZ9t4fLlpSpH,138612
179,0.777,0.672,-10.402,0.0541,0.236,0.785,0.0564,0.977,115.954,7zM0N5Xx4bZiSB7j5ruzvy,121086
180,0.711,0.672,-9.42,0.0656,0.114,0.913,0.286,0.951,160.179,0Djrvlr9AAMCnKhx3lQkL3,125231
181,0.705,0.614,-13.63,0.0389,0.364,0.866,0.0744,0.289,115.009,5n9pgw5YEI0dWI7SHg4ycn,128639
182,0.761,0.521,-12.882,0.059,0.564,0.877,0.112,0.757,121.018,74kJQaNLZEMrpIKeYNg9rk,145595
183,0.814,0.358,-11.018,0.0962,0.00139,0.921,0.075,0.523,123.027,4A6K7dMnujt9dL5lbR5ih6,141163
184,0.753,0.606,-10.561,0.0375,0.235,0.731,0.328,0.764,120.007,58ki5SjGk9lEjqGn2HPOpz,129358
185,0.783,0.673,-11.439,0.0536,0.345,0.862,0.123,0.467,113.03,310DvrcRjDt7HKIFEXo6Rr,154143
186,0.889,0.407,-12.936,0.123,0.158,0.379,0.107,0.312,120.974,0oFZc4jTF1EaDQ7VRivpAe,144846
187,0.59,0.861,-6.633,0.0491,0.0134,0.596,0.158,0.255,105.01,0TaPa67cQ8kqfsu5nySEzN,149444
188,0.843,0.4,-15.203,0.142,0.491,0.182,0.174,0.564,120.027,5X91swCWOu7BgLSMOScDBS,122358
189,0.786,0.597,-10.615,0.0583,0.706,0.928,0.1,0.678,120.994,30Dx1pDnuHXlUlB479iORy,177847
190,0.754,0.783,-8.394,0.0569,0.79,0.408,0.111,0.622,105.007,6GXNTaqUn8uw77epXR6vg0,147679
191,0.806,0.426,-13.898,0.0588,0.102,0.0169,0.411,0.597,120.001,6uj9DrJE0zeN7RI3nZqKt9,146437
192,0.7,0.803,-6.44,0.0292,0.386,0.976,0.155,0.899,114.991,1MU20fKs2gMti8QDXja6s1,126409
193,0.812,0.583,-9.698,0.111,0.182,0.891,0.109,0.681,112.038,2jwUsOH1alPLhGEuJwT9YF,148915
